# wl,R,G,B
5.500000000000000000e+02,1.889418959617614746e-01,8.640714883804321289e-01,2.835545539855957031e-01
5.510000000000000000e+02,1.898918300867080688e-01,8.561835289001464844e-01,2.812909483909606934e-01
5.520000000000000000e+02,1.908417642116546631e-01,8.482955694198608398e-01,2.790273725986480713e-01
5.530000000000000000e+02,1.917916983366012573e-01,8.404076099395751953e-01,2.767637968063354492e-01
5.540000000000000000e+02,1.927416175603866577e-01,8.325196504592895508e-01,2.745002210140228271e-01
5.550000000000000000e+02,1.936915516853332520e-01,8.246316909790039062e-01,2.722366452217102051e-01
5.560000000000000000e+02,1.946414858102798462e-01,8.167437314987182617e-01,2.699730694293975830e-01
5.570000000000000000e+02,1.955914199352264404e-01,8.088557720184326172e-01,2.677094936370849609e-01
5.580000000000000000e+02,1.965413540601730347e-01,8.009677529335021973e-01,2.654459178447723389e-01
5.590000000000000000e+02,1.974912881851196289e-01,7.930797934532165527e-01,2.631823420524597168e-01
5.600000000000000000e+02,1.984412223100662231e-01,7.851918339729309082e-01,2.609187662601470947e-01
5.610000000000000000e+02,1.995563507080078125e-01,7.761778235435485840e-01,2.598389685153961182e-01
5.620000000000000000e+02,2.006714642047882080e-01,7.671637535095214844e-01,2.587591707706451416e-01
5.630000000000000000e+02,2.017865926027297974e-01,7.581497430801391602e-01,2.576793730258941650e-01
5.640000000000000000e+02,2.029017210006713867e-01,7.491356730461120605e-01,2.565995752811431885e-01
5.650000000000000000e+02,2.040168344974517822e-01,7.401216030120849609e-01,2.555197775363922119e-01
5.660000000000000000e+02,2.051319628953933716e-01,7.311075925827026367e-01,2.544399797916412354e-01
5.670000000000000000e+02,2.062470912933349609e-01,7.220935225486755371e-01,2.533601820468902588e-01
5.680000000000000000e+02,2.073622047901153564e-01,7.130795121192932129e-01,2.522804141044616699e-01
5.690000000000000000e+02,2.084773331880569458e-01,7.040654420852661133e-01,2.512006163597106934e-01
5.700000000000000000e+02,2.095924615859985352e-01,6.950513720512390137e-01,2.501208186149597168e-01
5.710000000000000000e+02,2.414477318525314331e-01,6.867957115173339844e-01,2.505860328674316406e-01
5.720000000000000000e+02,2.733030021190643311e-01,6.785399913787841797e-01,2.510512769222259521e-01
5.730000000000000000e+02,3.051582872867584229e-01,6.702842712402343750e-01,2.515165209770202637e-01
5.740000000000000000e+02,3.370135426521301270e-01,6.620285511016845703e-01,2.519817352294921875e-01
5.750000000000000000e+02,3.688688278198242188e-01,6.537728309631347656e-01,2.524469792842864990e-01
5.760000000000000000e+02,4.007240831851959229e-01,6.455171704292297363e-01,2.529122233390808105e-01
5.770000000000000000e+02,4.325793683528900146e-01,6.372614502906799316e-01,2.533774375915527344e-01
5.780000000000000000e+02,4.644346535205841064e-01,6.290057301521301270e-01,2.538426816463470459e-01
5.790000000000000000e+02,4.962899088859558105e-01,6.207500100135803223e-01,2.543079257011413574e-01
5.800000000000000000e+02,5.281451940536499023e-01,6.124942898750305176e-01,2.547731399536132812e-01
5.810000000000000000e+02,5.753306746482849121e-01,6.046161055564880371e-01,2.551912367343902588e-01
5.820000000000000000e+02,6.225161552429199219e-01,5.967379212379455566e-01,2.556093037128448486e-01
5.830000000000000000e+02,6.697016358375549316e-01,5.888597369194030762e-01,2.560273706912994385e-01
5.840000000000000000e+02,7.168871164321899414e-01,5.809815526008605957e-01,2.564454376697540283e-01
5.850000000000000000e+02,7.640725970268249512e-01,5.731033682823181152e-01,2.568635344505310059e-01
5.860000000000000000e+02,8.112580776214599609e-01,5.652251839637756348e-01,2.572816014289855957e-01
5.870000000000000000e+02,8.584435582160949707e-01,5.573469996452331543e-01,2.576996684074401855e-01
5.880000000000000000e+02,9.056290388107299805e-01,5.494688153266906738e-01,2.581177651882171631e-01
5.890000000000000000e+02,9.528145194053649902e-01,5.415906310081481934e-01,2.585358321666717529e-01
5.900000000000000000e+02,1.000000000000000000e+00,5.337124466896057129e-01,2.589538991451263428e-01
5.910000000000000000e+02,9.979904294013977051e-01,5.183204412460327148e-01,2.549455463886260986e-01
5.920000000000000000e+02,9.959808588027954102e-01,5.029284954071044922e-01,2.509371638298034668e-01
5.930000000000000000e+02,9.939712882041931152e-01,4.875365197658538818e-01,2.469287961721420288e-01
5.940000000000000000e+02,9.919617772102355957e-01,4.721445441246032715e-01,2.429204285144805908e-01
5.950000000000000000e+02,9.899522066116333008e-01,4.567525684833526611e-01,2.389120608568191528e-01
5.960000000000000000e+02,9.879426360130310059e-01,4.413605928421020508e-01,2.349036931991577148e-01
5.970000000000000000e+02,9.859330654144287109e-01,4.259686172008514404e-01,2.308953255414962769e-01
5.980000000000000000e+02,9.839234948158264160e-01,4.105766415596008301e-01,2.268869578838348389e-01
5.990000000000000000e+02,9.819139242172241211e-01,3.951846659183502197e-01,2.228785902261734009e-01
6.000000000000000000e+02,9.799043536186218262e-01,3.797926902770996094e-01,2.188702225685119629e-01
6.010000000000000000e+02,9.703750610351562500e-01,3.686269223690032959e-01,2.152268737554550171e-01
6.020000000000000000e+02,9.608457088470458984e-01,3.574611842632293701e-01,2.115835249423980713e-01
6.030000000000000000e+02,9.513163566589355469e-01,3.462954163551330566e-01,2.079401612281799316e-01
6.040000000000000000e+02,9.417870044708251953e-01,3.351296484470367432e-01,2.042968124151229858e-01
6.050000000000000000e+02,9.322576522827148438e-01,3.239638805389404297e-01,2.006534636020660400e-01
6.060000000000000000e+02,9.227283596992492676e-01,3.127981126308441162e-01,1.970100998878479004e-01
6.070000000000000000e+02,9.131990075111389160e-01,3.016323447227478027e-01,1.933667510747909546e-01
6.080000000000000000e+02,9.036696553230285645e-01,2.904665768146514893e-01,1.897234022617340088e-01
6.090000000000000000e+02,8.941403031349182129e-01,2.793008089065551758e-01,1.860800534486770630e-01
6.100000000000000000e+02,8.846109509468078613e-01,2.681350409984588623e-01,1.824366897344589233e-01
6.110000000000000000e+02,8.747941851615905762e-01,2.633107304573059082e-01,1.811833083629608154e-01
6.120000000000000000e+02,8.649773597717285156e-01,2.584864497184753418e-01,1.799299269914627075e-01
6.130000000000000000e+02,8.551605343818664551e-01,2.536621391773223877e-01,1.786765307188034058e-01
6.140000000000000000e+02,8.453437089920043945e-01,2.488378435373306274e-01,1.774231493473052979e-01
6.150000000000000000e+02,8.355268836021423340e-01,2.440135329961776733e-01,1.761697530746459961e-01
6.160000000000000000e+02,8.257100582122802734e-01,2.391892373561859131e-01,1.749163717031478882e-01
6.170000000000000000e+02,8.158932328224182129e-01,2.343649268150329590e-01,1.736629754304885864e-01
6.180000000000000000e+02,8.060764670372009277e-01,2.295406311750411987e-01,1.724095940589904785e-01
6.190000000000000000e+02,7.962596416473388672e-01,2.247163355350494385e-01,1.711562126874923706e-01
6.200000000000000000e+02,7.864428162574768066e-01,2.198920249938964844e-01,1.699028164148330688e-01
6.210000000000000000e+02,7.835744619369506836e-01,2.185019254684448242e-01,1.702844649553298950e-01
6.220000000000000000e+02,7.807061076164245605e-01,2.171118259429931641e-01,1.706661283969879150e-01
6.230000000000000000e+02,7.778377532958984375e-01,2.157217264175415039e-01,1.710477769374847412e-01
6.240000000000000000e+02,7.749693989753723145e-01,2.143316268920898438e-01,1.714294254779815674e-01
6.250000000000000000e+02,7.721009850502014160e-01,2.129415124654769897e-01,1.718110889196395874e-01
6.260000000000000000e+02,7.692326307296752930e-01,2.115514129400253296e-01,1.721927374601364136e-01
6.270000000000000000e+02,7.663642764091491699e-01,2.101613134145736694e-01,1.725743860006332397e-01
6.280000000000000000e+02,7.634959220886230469e-01,2.087712138891220093e-01,1.729560345411300659e-01
6.290000000000000000e+02,7.606275677680969238e-01,2.073811143636703491e-01,1.733376979827880859e-01
6.300000000000000000e+02,7.577592134475708008e-01,2.059909999370574951e-01,1.737193465232849121e-01
6.310000000000000000e+02,7.534331679344177246e-01,2.049300372600555420e-01,1.741616129875183105e-01
6.320000000000000000e+02,7.491071224212646484e-01,2.038690745830535889e-01,1.746038645505905151e-01
6.330000000000000000e+02,7.447810769081115723e-01,2.028081119060516357e-01,1.750461310148239136e-01
6.340000000000000000e+02,7.404550313949584961e-01,2.017471492290496826e-01,1.754883974790573120e-01
6.350000000000000000e+02,7.361290454864501953e-01,2.006861865520477295e-01,1.759306490421295166e-01
6.360000000000000000e+02,7.318029999732971191e-01,1.996252238750457764e-01,1.763729155063629150e-01
6.370000000000000000e+02,7.274769544601440430e-01,1.985642611980438232e-01,1.768151819705963135e-01
6.380000000000000000e+02,7.231509089469909668e-01,1.975032985210418701e-01,1.772574484348297119e-01
6.390000000000000000e+02,7.188248634338378906e-01,1.964423358440399170e-01,1.776996999979019165e-01
6.400000000000000000e+02,7.144988179206848145e-01,1.953813731670379639e-01,1.781419664621353149e-01
6.410000000000000000e+02,7.027562260627746582e-01,1.928626894950866699e-01,1.775669902563095093e-01
6.420000000000000000e+02,6.910135746002197266e-01,1.903440058231353760e-01,1.769919991493225098e-01
6.430000000000000000e+02,6.792709827423095703e-01,1.878253221511840820e-01,1.764170080423355103e-01
6.440000000000000000e+02,6.675283908843994141e-01,1.853066533803939819e-01,1.758420318365097046e-01
6.450000000000000000e+02,6.557857990264892578e-01,1.827879697084426880e-01,1.752670407295227051e-01
6.460000000000000000e+02,6.440431475639343262e-01,1.802692860364913940e-01,1.746920645236968994e-01
6.470000000000000000e+02,6.323005557060241699e-01,1.777506172657012939e-01,1.741170734167098999e-01
6.480000000000000000e+02,6.205579638481140137e-01,1.752319335937500000e-01,1.735420972108840942e-01
6.490000000000000000e+02,6.088153123855590820e-01,1.727132499217987061e-01,1.729671061038970947e-01
6.500000000000000000e+02,5.970727205276489258e-01,1.701945662498474121e-01,1.723921298980712891e-01
6.510000000000000000e+02,5.746862292289733887e-01,1.650828272104263306e-01,1.682701408863067627e-01
6.520000000000000000e+02,5.522996783256530762e-01,1.599710732698440552e-01,1.641481667757034302e-01
6.530000000000000000e+02,5.299131870269775391e-01,1.548593193292617798e-01,1.600261926651000977e-01
6.540000000000000000e+02,5.075266361236572266e-01,1.497475653886795044e-01,1.559042185544967651e-01
6.550000000000000000e+02,4.851401150226593018e-01,1.446358114480972290e-01,1.517822295427322388e-01
6.560000000000000000e+02,4.627535939216613770e-01,1.395240575075149536e-01,1.476602554321289062e-01
6.570000000000000000e+02,4.403670728206634521e-01,1.344123035669326782e-01,1.435382813215255737e-01
6.580000000000000000e+02,4.179805517196655273e-01,1.293005496263504028e-01,1.394163072109222412e-01
6.590000000000000000e+02,3.955940306186676025e-01,1.241888031363487244e-01,1.352943331003189087e-01
6.600000000000000000e+02,3.732075095176696777e-01,1.190770491957664490e-01,1.311723440885543823e-01
6.610000000000000000e+02,3.522730767726898193e-01,1.145137473940849304e-01,1.266979724168777466e-01
6.620000000000000000e+02,3.313386738300323486e-01,1.099504381418228149e-01,1.222235932946205139e-01
6.630000000000000000e+02,3.104042410850524902e-01,1.053871363401412964e-01,1.177492216229438782e-01
6.640000000000000000e+02,2.894698083400726318e-01,1.008238345384597778e-01,1.132748425006866455e-01
6.650000000000000000e+02,2.685354053974151611e-01,9.626052528619766235e-02,1.088004633784294128e-01
6.660000000000000000e+02,2.476009726524353027e-01,9.169722348451614380e-02,1.043260917067527771e-01
6.670000000000000000e+02,2.266665548086166382e-01,8.713392168283462524e-02,9.985171258449554443e-02
6.680000000000000000e+02,2.057321369647979736e-01,8.257061243057250977e-02,9.537733346223831177e-02
6.690000000000000000e+02,1.847977191209793091e-01,7.800731062889099121e-02,9.090296179056167603e-02
6.700000000000000000e+02,1.638633012771606445e-01,7.344400882720947266e-02,8.642858266830444336e-02
6.710000000000000000e+02,1.567091941833496094e-01,7.180020213127136230e-02,8.446123450994491577e-02
6.720000000000000000e+02,1.495550870895385742e-01,7.015640288591384888e-02,8.249387890100479126e-02
6.730000000000000000e+02,1.424009799957275391e-01,6.851260364055633545e-02,8.052653074264526367e-02
6.740000000000000000e+02,1.352468878030776978e-01,6.686880439519882202e-02,7.855918258428573608e-02
6.750000000000000000e+02,1.280927807092666626e-01,6.522499769926071167e-02,7.659182697534561157e-02
6.760000000000000000e+02,1.209386736154556274e-01,6.358119845390319824e-02,7.462447881698608398e-02
6.770000000000000000e+02,1.137845665216445923e-01,6.193739920854568481e-02,7.265713065862655640e-02
6.780000000000000000e+02,1.066304668784141541e-01,6.029359623789787292e-02,7.068977504968643188e-02
6.790000000000000000e+02,9.947635978460311890e-02,5.864979699254035950e-02,6.872242689132690430e-02
6.800000000000000000e+02,9.232226014137268066e-02,5.700599774718284607e-02,6.675507128238677979e-02
6.810000000000000000e+02,9.025195986032485962e-02,5.664883926510810852e-02,6.644663214683532715e-02
6.820000000000000000e+02,8.818165212869644165e-02,5.629168450832366943e-02,6.613818556070327759e-02
6.830000000000000000e+02,8.611135184764862061e-02,5.593452602624893188e-02,6.582973897457122803e-02
6.840000000000000000e+02,8.404105156660079956e-02,5.557737126946449280e-02,6.552129983901977539e-02
6.850000000000000000e+02,8.197074383497238159e-02,5.522021651268005371e-02,6.521285325288772583e-02
6.860000000000000000e+02,7.990044355392456055e-02,5.486305803060531616e-02,6.490441411733627319e-02
6.870000000000000000e+02,7.783014327287673950e-02,5.450590327382087708e-02,6.459596753120422363e-02
6.880000000000000000e+02,7.575983554124832153e-02,5.414874479174613953e-02,6.428752094507217407e-02
6.890000000000000000e+02,7.368953526020050049e-02,5.379159003496170044e-02,6.397908180952072144e-02
6.900000000000000000e+02,7.161923497915267944e-02,5.343443527817726135e-02,6.367063522338867188e-02
6.910000000000000000e+02,7.017592340707778931e-02,5.306125804781913757e-02,6.324028968811035156e-02
6.920000000000000000e+02,6.873261928558349609e-02,5.268808454275131226e-02,6.280994415283203125e-02
6.930000000000000000e+02,6.728930771350860596e-02,5.231491103768348694e-02,6.237959489226341248e-02
6.940000000000000000e+02,6.584600359201431274e-02,5.194173753261566162e-02,6.194924563169479370e-02
6.950000000000000000e+02,6.440269201993942261e-02,5.156856402754783630e-02,6.151890009641647339e-02
6.960000000000000000e+02,6.295938789844512939e-02,5.119538679718971252e-02,6.108855083584785461e-02
6.970000000000000000e+02,6.151608005166053772e-02,5.082221329212188721e-02,6.065820157527923584e-02
6.980000000000000000e+02,6.007277220487594604e-02,5.044903978705406189e-02,6.022785604000091553e-02
6.990000000000000000e+02,5.862946435809135437e-02,5.007586628198623657e-02,5.979750677943229675e-02
7.000000000000000000e+02,5.718615651130676270e-02,4.970269277691841125e-02,5.936716124415397644e-02
